episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.5200,1.2680,5.52,15.271649,0.0100,47.3
200,0.6100,3.1380,5.32,14.193329,0.0100,92.6
300,0.6600,4.1820,4.93,15.568214,0.0100,135.8
400,0.6400,3.6870,5.08,14.687323,0.0100,179.9
500,0.6500,3.9010,5.04,15.107551,0.0100,223.8
600,0.5900,2.6390,5.26,16.267617,0.0100,269.5
700,0.5300,1.3740,5.31,16.506953,0.0100,320.3
800,0.4700,0.1360,5.44,14.953617,0.0100,377.8
900,0.6300,3.4650,5.40,17.793973,0.0100,431.1
1000,0.6700,4.2840,5.21,16.679618,0.0100,481.8
