episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.5100,1.0610,5.39,13.370722,0.0100,51.0
200,0.5700,2.2420,5.33,12.382737,0.0100,103.3
300,0.5700,2.3090,5.31,15.183427,0.0100,154.0
400,0.3800,-1.6880,5.73,14.911538,0.0100,209.6
500,0.5000,0.8170,5.63,15.634745,0.0100,262.3
600,0.4500,-0.1850,5.55,17.397056,0.0100,316.2
700,0.5200,1.2560,5.49,18.708448,0.0100,369.3
800,0.5400,1.6230,5.47,17.482322,0.0100,422.4
900,0.5600,1.9740,5.41,16.602609,0.0100,475.5
1000,0.4900,0.5020,5.53,17.630833,0.0100,531.9
1100,0.4500,-0.3060,5.36,16.186270,0.0100,586.4
1200,0.3500,-2.4280,5.68,15.099207,0.0100,645.3
1300,0.4800,0.2540,5.51,16.584464,0.0100,701.1
1400,0.4600,-0.1740,5.49,15.803001,0.0100,756.5
1500,0.5800,2.4810,5.24,15.763308,0.0100,808.3
1600,0.5500,1.8160,5.39,16.194899,0.0100,861.7
1700,0.5500,1.7750,5.60,16.557023,0.0100,916.6
1800,0.5700,2.2120,5.48,17.939183,0.0100,970.7
1900,0.5300,1.3680,5.57,15.851964,0.0100,1025.7
2000,0.4800,0.4460,5.59,16.130558,0.0100,1080.3
2100,0.4900,0.5960,5.49,15.468609,0.0100,1134.0
2200,0.6000,2.8880,5.42,16.863881,0.0100,1186.2
2300,0.5000,0.7850,5.60,16.525700,0.0100,1240.5
2400,0.6400,3.7270,5.58,15.847775,0.0100,1293.6
2500,0.4600,-0.0610,5.56,15.421316,0.0100,1347.4
2600,0.5800,2.3780,5.57,16.061031,0.0100,1401.0
2700,0.5800,2.3700,5.55,15.875348,0.0100,1455.9
2800,0.5000,0.8730,5.62,17.395127,0.0100,1511.4
2900,0.4800,0.3420,5.53,15.913279,0.0100,1565.4
3000,0.5900,2.5960,5.29,16.135908,0.0100,1618.3
3100,0.6600,4.0790,5.41,15.942541,0.0100,1670.6
3200,0.6200,3.2750,5.35,17.192686,0.0100,1724.8
3300,0.5500,1.8300,5.55,17.370934,0.0100,1779.5
3400,0.6200,3.2860,5.34,16.645781,0.0100,1832.0
3500,0.5500,1.8710,5.54,15.816327,0.0100,1885.3
3600,0.5700,2.1910,5.39,16.586573,0.0100,1937.5
3700,0.5900,2.6200,5.50,15.464992,0.0100,1992.3
3800,0.5300,1.3470,5.53,14.939315,0.0100,2047.3
3900,0.5800,2.4030,5.47,16.747117,0.0100,2102.1
4000,0.4800,0.4410,5.54,16.054290,0.0100,2158.1
4100,0.6200,3.3200,5.50,16.129474,0.0100,2212.7
4200,0.5800,2.4530,5.57,16.039718,0.0100,2269.0
4300,0.5500,1.8670,5.53,16.489779,0.0100,2324.6
4400,0.5800,2.4400,5.50,18.050230,0.0100,2379.3
4500,0.5600,2.0070,5.23,16.409673,0.0100,2432.0
4600,0.5700,2.0920,5.48,17.483974,0.0100,2489.3
4700,0.5100,0.9420,5.43,15.821356,0.0100,2544.6
4800,0.5700,2.2670,5.28,16.629761,0.0100,2597.6
4900,0.5800,2.3800,5.35,16.198313,0.0100,2651.3
5000,0.5500,1.8290,5.56,16.076195,0.0100,2705.5
