episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.2100,-5.3060,5.86,7.803642,0.9802,58.1
200,0.2600,-4.2010,5.76,8.225845,0.9604,115.7
300,0.2000,-5.4320,5.82,7.587077,0.9406,174.0
400,0.2300,-4.9380,5.83,6.728970,0.9208,232.7
500,0.2100,-5.2840,5.84,7.271970,0.9010,292.5
600,0.2300,-4.9190,5.79,7.628621,0.8812,396.6
700,0.2700,-4.0750,5.85,8.751518,0.8614,454.8
800,0.2500,-4.4450,5.80,8.882857,0.8416,510.5
900,0.2500,-4.6620,5.72,9.563515,0.8218,566.9
1000,0.2100,-5.3320,5.87,8.803325,0.8020,626.2
1100,0.2200,-5.1080,5.83,8.545201,0.7822,739.0
1200,0.1900,-5.6930,5.83,8.233278,0.7624,798.2
1300,0.1800,-5.9080,5.88,9.275102,0.7426,856.9
1400,0.2300,-4.8410,5.86,9.744618,0.7228,916.1
1500,0.2300,-4.8050,5.75,9.260053,0.7030,975.0
1600,0.2700,-4.0390,5.79,9.286287,0.6832,1086.5
1700,0.2700,-4.0750,5.75,9.720321,0.6634,1144.6
1800,0.2500,-4.4690,5.79,9.538362,0.6436,1203.1
1900,0.3000,-3.4430,5.78,10.545678,0.6238,1261.9
2000,0.2600,-4.2830,5.78,10.246823,0.6040,1320.5
2100,0.2400,-4.7590,5.84,10.737832,0.5842,1429.8
2200,0.1400,-6.7740,5.89,9.549557,0.5644,1490.2
2300,0.2600,-4.2860,5.76,8.844972,0.5446,1549.5
2400,0.2000,-5.5570,5.87,9.098493,0.5248,1609.4
2500,0.2300,-4.9970,5.82,9.333794,0.5050,1670.1
2600,0.1900,-5.7590,5.84,10.261657,0.4852,1777.7
2700,0.2400,-4.7010,5.86,8.788203,0.4654,1836.9
2800,0.1900,-5.6940,5.84,10.221231,0.4456,1898.5
2900,0.2300,-4.9210,5.81,10.304814,0.4258,1959.5
3000,0.2700,-4.1860,5.81,10.649634,0.4060,2020.3
3100,0.1600,-6.4190,5.89,10.787881,0.3862,2134.4
3200,0.2500,-4.5050,5.70,10.167685,0.3664,2192.8
3300,0.2200,-5.0940,5.74,8.670785,0.3466,2251.8
3400,0.2900,-3.6600,5.70,9.196494,0.3268,2310.3
3500,0.2300,-4.9230,5.83,9.879659,0.3070,2371.1
3600,0.2300,-4.9200,5.85,10.913971,0.2872,2485.5
3700,0.2600,-4.3870,5.77,10.297810,0.2674,2548.4
3800,0.2900,-3.7660,5.81,10.327801,0.2476,2609.0
3900,0.2300,-4.9390,5.79,10.138920,0.2278,2670.2
4000,0.2500,-4.4080,5.83,9.855559,0.2080,2730.3
4100,0.2200,-5.0290,5.79,9.858832,0.1882,2841.9
4200,0.1500,-6.5580,5.78,10.547815,0.1684,2901.6
4300,0.3200,-3.0490,5.79,9.755926,0.1486,2961.9
4400,0.3000,-3.4860,5.81,10.403038,0.1288,3023.0
4500,0.2400,-4.8150,5.75,10.927545,0.1090,3085.0
4600,0.2500,-4.4730,5.78,10.247380,0.0892,3196.8
4700,0.2600,-4.2510,5.81,9.563431,0.0694,3257.9
4800,0.3300,-2.7770,5.72,9.432200,0.0496,3316.2
4900,0.2700,-4.0900,5.70,10.578342,0.0298,3375.8
5000,0.3200,-3.1610,5.76,10.089432,0.0100,3434.4
5100,0.2300,-4.9220,5.77,9.470915,0.0100,3542.2
5200,0.2900,-3.6050,5.65,9.577953,0.0100,3599.8
5300,0.3200,-3.1130,5.68,10.949906,0.0100,3659.7
5400,0.3200,-3.1240,5.69,10.674828,0.0100,3718.5
5500,0.3500,-2.4200,5.55,10.107525,0.0100,3775.0
5600,0.2200,-5.0120,5.82,11.233865,0.0100,3882.2
5700,0.2700,-4.2310,5.76,11.846488,0.0100,3943.4
5800,0.2700,-4.1300,5.70,10.587836,0.0100,4002.5
5900,0.2800,-3.9140,5.79,10.661013,0.0100,4061.9
6000,0.3000,-3.5180,5.73,10.883443,0.0100,4120.4
6100,0.2300,-4.9350,5.85,10.875598,0.0100,4228.1
6200,0.2200,-5.0860,5.81,11.070926,0.0100,4285.1
6300,0.2200,-5.2180,5.78,12.127239,0.0100,4340.5
6400,0.2100,-5.3910,5.86,11.439555,0.0100,4399.2
6500,0.2400,-4.7260,5.81,10.871267,0.0100,4459.5
6600,0.2600,-4.2910,5.81,11.237971,0.0100,4570.5
6700,0.2100,-5.4250,5.80,11.918542,0.0100,4628.8
6800,0.2700,-4.0220,5.72,11.039663,0.0100,4688.1
6900,0.2600,-4.3330,5.78,11.619496,0.0100,4749.5
7000,0.2500,-4.3690,5.84,10.658063,0.0100,4806.9
7100,0.3000,-3.4970,5.72,11.138142,0.0100,4912.0
7200,0.2700,-4.1140,5.74,13.025818,0.0100,4970.2
7300,0.2800,-3.9320,5.72,12.144853,0.0100,5029.3
7400,0.2000,-5.5620,5.82,10.214788,0.0100,5091.7
7500,0.2700,-4.1290,5.69,10.100303,0.0100,5153.7
7600,0.1900,-5.7310,5.86,11.422708,0.0100,5270.7
7700,0.2600,-4.2560,5.81,13.065334,0.0100,5331.1
7800,0.3000,-3.5180,5.68,12.367196,0.0100,5390.3
7900,0.2500,-4.5790,5.74,12.132395,0.0100,5448.8
8000,0.3200,-3.1660,5.66,11.455127,0.0100,5505.2
8100,0.3100,-3.3540,5.74,11.203811,0.0100,5611.0
8200,0.2000,-5.5880,5.78,10.683859,0.0100,5668.4
8300,0.3000,-3.4470,5.67,11.357095,0.0100,5724.4
8400,0.2100,-5.3770,5.77,11.292618,0.0100,5787.3
8500,0.2100,-5.4420,5.82,10.167462,0.0100,5848.8
8600,0.3100,-3.3370,5.72,11.614550,0.0100,5959.5
8700,0.2900,-3.6630,5.63,11.523914,0.0100,6019.5
8800,0.2600,-4.3560,5.66,12.139243,0.0100,6076.7
8900,0.2800,-3.8300,5.60,12.333153,0.0100,6131.4
9000,0.2900,-3.7100,5.60,12.470104,0.0100,6187.2
9100,0.2900,-3.6920,5.67,12.182079,0.0100,6296.3
9200,0.3200,-3.0030,5.68,11.493551,0.0100,6355.9
9300,0.2800,-3.8170,5.72,12.108609,0.0100,6416.0
9400,0.3300,-2.9130,5.63,11.365018,0.0100,6475.9
9500,0.2900,-3.7130,5.73,12.178454,0.0100,6537.3
9600,0.2700,-4.1420,5.67,11.508073,0.0100,6648.4
9700,0.3600,-2.0740,5.49,13.091741,0.0100,6704.5
9800,0.2200,-5.1570,5.82,12.401747,0.0100,6763.9
9900,0.3500,-2.3670,5.77,13.336552,0.0100,6820.4
10000,0.3500,-2.4250,5.70,13.683841,0.0100,6878.0
