episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.2600,-4.3150,5.85,5.518866,0.9802,58.5
200,0.2300,-4.8570,5.82,6.356512,0.9604,116.1
300,0.2300,-4.8850,5.80,7.017188,0.9406,174.7
400,0.2800,-3.9240,5.79,7.039559,0.9208,232.9
500,0.2700,-4.0760,5.76,6.680389,0.9010,290.9
600,0.2800,-3.8140,5.79,7.247668,0.8812,393.4
700,0.2500,-4.5710,5.76,7.442220,0.8614,450.8
800,0.3200,-3.1130,5.68,7.707511,0.8416,507.8
900,0.1900,-5.6950,5.80,9.159600,0.8218,566.1
1000,0.2900,-3.6370,5.77,8.717139,0.8020,622.4
1100,0.3300,-2.8030,5.78,8.772135,0.7822,728.0
1200,0.2900,-3.5250,5.70,9.103608,0.7624,783.7
1300,0.2600,-4.2010,5.81,9.504439,0.7426,841.1
1400,0.3700,-1.9420,5.67,9.181153,0.7228,895.4
1500,0.3400,-2.6090,5.79,9.538069,0.7030,953.6
1600,0.3000,-3.4710,5.76,9.213528,0.6832,1057.7
1700,0.3000,-3.3490,5.69,9.518160,0.6634,1113.9
1800,0.3400,-2.6450,5.60,9.196698,0.6436,1169.9
1900,0.3300,-2.9140,5.69,8.281383,0.6238,1227.1
2000,0.3100,-3.2070,5.77,9.811231,0.6040,1285.9
2100,0.2700,-4.0390,5.74,9.682894,0.5842,1391.0
2200,0.3200,-2.9340,5.74,9.284439,0.5644,1447.7
2300,0.3000,-3.5130,5.73,10.082135,0.5446,1505.5
2400,0.3700,-1.8790,5.59,10.084421,0.5248,1561.4
2500,0.3800,-1.7330,5.58,9.752634,0.5050,1616.8
2600,0.3500,-2.3290,5.49,10.146953,0.4852,1713.8
2700,0.3600,-2.2400,5.55,9.386691,0.4654,1769.7
2800,0.2600,-4.2720,5.62,10.228057,0.4456,1825.2
2900,0.4100,-1.1180,5.63,10.261716,0.4258,1880.1
3000,0.3700,-1.9320,5.57,10.079395,0.4060,1934.4
3100,0.3100,-3.1940,5.64,10.281220,0.3862,2035.5
3200,0.2500,-4.5130,5.73,11.438897,0.3664,2093.1
3300,0.4000,-1.3660,5.61,11.545024,0.3466,2148.3
3400,0.3700,-1.9020,5.62,11.525626,0.3268,2203.2
3500,0.3900,-1.4990,5.69,11.472564,0.3070,2258.3
3600,0.4100,-1.1790,5.54,11.832450,0.2872,2356.4
3700,0.4000,-1.2700,5.60,12.599350,0.2674,2409.1
3800,0.4000,-1.2520,5.67,12.033246,0.2476,2463.4
3900,0.4400,-0.5120,5.62,11.902228,0.2278,2518.6
4000,0.4100,-1.1090,5.64,11.408992,0.2080,2571.5
4100,0.3900,-1.5230,5.63,11.794613,0.1882,2669.0
4200,0.4300,-0.7860,5.61,11.345201,0.1684,2725.6
4300,0.4300,-0.7160,5.61,11.269040,0.1486,2781.4
4400,0.3500,-2.3650,5.75,11.355455,0.1288,2837.5
4500,0.5400,1.6090,5.41,12.334864,0.1090,2889.5
4600,0.5200,1.2190,5.41,12.196664,0.0892,2980.0
4700,0.5400,1.6060,5.49,12.139369,0.0694,3031.9
4800,0.4200,-0.9190,5.44,12.790562,0.0496,3083.3
4900,0.5600,1.9820,5.38,11.432212,0.0298,3135.5
5000,0.5700,2.2510,5.44,11.800930,0.0100,3187.3
