episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.1400,-6.8650,5.90,13.149997,0.9802,57.0
200,0.2900,-3.7800,5.75,13.466089,0.9604,114.3
300,0.2100,-5.3860,5.86,13.117539,0.9406,172.2
400,0.2900,-3.8060,5.76,11.051770,0.9208,229.6
500,0.2600,-4.3640,5.79,8.252846,0.9010,286.6
600,0.2600,-4.4320,5.82,7.266724,0.8812,376.5
700,0.2400,-4.7240,5.74,6.917290,0.8614,432.5
800,0.2900,-3.7130,5.78,6.603406,0.8416,486.0
900,0.2800,-3.8950,5.80,5.773060,0.8218,539.8
1000,0.3100,-3.2410,5.66,5.985933,0.8020,593.7
1100,0.2300,-5.0440,5.79,5.706800,0.7822,688.9
1200,0.3400,-2.6320,5.67,6.358897,0.7624,742.0
1300,0.2800,-3.9380,5.68,6.670875,0.7426,796.6
1400,0.3600,-2.2050,5.60,6.509729,0.7228,850.0
1500,0.4200,-1.0360,5.61,7.457142,0.7030,902.1
1600,0.4200,-0.9430,5.58,7.395154,0.6832,993.3
1700,0.4100,-1.1750,5.55,8.762807,0.6634,1046.0
1800,0.4300,-0.7480,5.43,8.713207,0.6436,1097.1
1900,0.3400,-2.6130,5.73,8.444515,0.6238,1151.1
2000,0.3700,-1.9830,5.68,9.101619,0.6040,1205.1
2100,0.5200,1.0870,5.53,9.304541,0.5842,1300.7
2200,0.3100,-3.2950,5.70,8.930979,0.5644,1357.3
2300,0.4600,-0.1140,5.39,9.489949,0.5446,1408.5
2400,0.5200,1.0280,5.57,9.737099,0.5248,1463.3
2500,0.5200,1.1790,5.46,9.653244,0.5050,1516.2
2600,0.5100,0.9440,5.51,9.973246,0.4852,1604.0
2700,0.4400,-0.5370,5.47,9.499542,0.4654,1653.7
2800,0.4500,-0.3600,5.50,10.651493,0.4456,1705.0
2900,0.3900,-1.5850,5.60,9.730163,0.4258,1760.3
3000,0.4900,0.5330,5.47,9.765557,0.4060,1806.9
3100,0.4500,-0.1620,5.42,9.285113,0.3862,1879.1
3200,0.5500,1.8190,5.41,10.786470,0.3664,1926.1
3300,0.5900,2.6350,5.25,10.709801,0.3466,1970.8
3400,0.5700,2.2810,5.29,10.273190,0.3268,2016.6
3500,0.7000,5.0710,4.89,10.921230,0.3070,2060.4
3600,0.6500,3.9370,4.93,10.513523,0.2872,2139.2
3700,0.6300,3.4850,5.25,10.536083,0.2674,2187.3
3800,0.6500,3.8280,5.42,10.646079,0.2476,2238.7
3900,0.6200,3.1760,5.34,10.537400,0.2278,2291.0
4000,0.5800,2.3450,5.40,10.161354,0.2080,2345.0
4100,0.5600,1.8850,5.25,10.321599,0.1882,2444.2
4200,0.5500,1.5740,5.46,10.627255,0.1684,2499.5
4300,0.7400,5.6510,5.09,11.318256,0.1486,2550.4
4400,0.6600,4.1380,5.17,10.694583,0.1288,2599.8
4500,0.8500,7.9760,4.94,10.423187,0.1090,2645.5
4600,0.7700,6.3460,4.94,10.966822,0.0892,2733.8
4700,0.8000,6.9970,4.78,10.866951,0.0694,2777.4
4800,0.8000,7.0130,4.77,11.534467,0.0496,2821.0
4900,0.8300,7.6270,4.78,11.461307,0.0298,2863.3
5000,0.8000,6.9930,4.57,10.767631,0.0100,2904.0
5100,0.8500,8.0430,4.67,11.635255,0.0100,2979.9
5200,0.8000,6.9650,4.80,10.725378,0.0100,3025.4
5300,0.8000,6.9800,4.75,9.988544,0.0100,3072.7
5400,0.8400,7.7960,4.84,10.118405,0.0100,3120.5
5500,0.8400,7.7880,4.87,10.293042,0.0100,3168.3
5600,0.8100,7.2090,4.66,10.900413,0.0100,3250.9
5700,0.8300,7.6620,4.93,10.730060,0.0100,3298.2
5800,0.7900,6.6800,5.00,10.641490,0.0100,3347.1
5900,0.7600,6.1180,4.97,10.238640,0.0100,3393.9
6000,0.8400,7.8050,4.80,10.550114,0.0100,3439.6
6100,0.8600,8.2020,4.73,9.880112,0.0100,3523.4
6200,0.9100,9.2040,4.61,9.475872,0.0100,3568.3
6300,0.8500,8.0050,4.85,9.371881,0.0100,3614.1
6400,0.8400,7.8410,4.89,10.191594,0.0100,3661.3
6500,0.8700,8.4310,4.94,10.291052,0.0100,3709.1
6600,0.7400,5.6930,5.07,10.351667,0.0100,3798.5
6700,0.8500,7.9790,4.96,10.194123,0.0100,3846.3
6800,0.7800,6.5610,4.94,10.654994,0.0100,3892.3
6900,0.7100,5.1240,5.21,10.745538,0.0100,3941.0
7000,0.8100,7.2010,4.69,10.006556,0.0100,3983.4
7100,0.8600,8.2270,4.93,9.989705,0.0100,4062.1
7200,0.7700,6.4000,4.85,9.036768,0.0100,4106.2
7300,0.8600,8.2100,4.75,10.367078,0.0100,4150.1
7400,0.7800,6.5120,4.68,9.668698,0.0100,4193.3
7500,0.8000,6.9390,4.86,9.336555,0.0100,4236.4
7600,0.7900,6.8040,4.91,10.063987,0.0100,4317.8
7700,0.8600,8.2320,4.98,10.668207,0.0100,4364.1
7800,0.8000,7.0300,4.95,11.225590,0.0100,4411.2
7900,0.7700,6.2790,5.01,10.962154,0.0100,4459.5
8000,0.9000,9.0590,4.86,9.704272,0.0100,4506.4
8100,0.8500,7.9720,4.88,9.612572,0.0100,4594.5
8200,0.8400,7.7780,4.97,10.005846,0.0100,4643.0
8300,0.7600,6.0430,5.02,9.835447,0.0100,4694.4
8400,0.8900,8.7900,4.90,10.418214,0.0100,4742.6
8500,0.7900,6.6580,5.02,10.703974,0.0100,4791.5
8600,0.8500,7.9620,4.88,10.288896,0.0100,4879.7
8700,0.8100,7.2450,4.70,10.013935,0.0100,4926.6
8800,0.8000,6.9640,4.81,10.276381,0.0100,4974.1
