episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
8900,0.8500,7.9630,4.72,9.921381,0.0100,5018.8
9000,0.7900,6.6810,4.99,9.767757,0.0100,5067.0
9100,0.7800,6.5640,5.06,10.095266,0.0100,5156.2
9200,0.8700,8.3600,4.80,9.363452,0.0100,5204.0
9300,0.8800,8.6010,4.79,9.622179,0.0100,5249.2
9400,0.8300,7.6180,4.87,9.971673,0.0100,5294.4
9500,0.8700,8.4560,4.64,9.651471,0.0100,5337.2
9600,0.8000,6.9530,5.02,9.253517,0.0100,5426.0
9700,0.8400,7.7770,5.03,9.406576,0.0100,5473.8
9800,0.7900,6.7780,4.97,10.231711,0.0100,5519.0
9900,0.9200,9.4770,4.78,9.653744,0.0100,5565.0
10000,0.7300,5.5000,4.90,11.051455,0.0100,5610.8
