episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.4200,-0.9630,5.58,17.911458,0.0100,55.2
200,0.4800,0.2650,5.55,14.931751,0.0100,110.9
300,0.4100,-1.0770,5.62,12.869498,0.0100,165.3
400,0.4600,-0.1000,5.60,13.709906,0.0100,222.7
500,0.5100,0.8600,5.50,16.747190,0.0100,279.0
600,0.4400,-0.4630,5.63,16.730161,0.0100,335.5
700,0.4200,-0.9090,5.54,14.583223,0.0100,391.5
800,0.3900,-1.5500,5.65,14.567524,0.0100,448.8
900,0.4000,-1.3630,5.58,13.719989,0.0100,506.4
1000,0.3600,-2.2170,5.62,14.651980,0.0100,563.9
1100,0.3600,-2.2710,5.71,15.519830,0.0100,623.8
1200,0.4400,-0.4650,5.60,16.227092,0.0100,679.6
1300,0.5000,0.7670,5.58,16.577918,0.0100,735.1
1400,0.5500,1.8140,5.41,16.925143,0.0100,789.6
1500,0.4800,0.3880,5.42,18.582780,0.0100,843.5
1600,0.4900,0.5630,5.62,17.335959,0.0100,898.5
1700,0.4600,-0.0660,5.51,16.510173,0.0100,956.8
1800,0.5500,1.8280,5.57,14.549187,0.0100,1011.4
1900,0.4600,-0.0710,5.66,15.508051,0.0100,1068.4
2000,0.4100,-1.0270,5.57,16.138048,0.0100,1124.6
2100,0.4400,-0.5590,5.59,15.906642,0.0100,1181.2
2200,0.4100,-1.1430,5.68,16.398522,0.0100,1242.4
2300,0.4700,0.0810,5.59,14.991423,0.0100,1304.6
2400,0.3600,-2.2000,5.65,15.187837,0.0100,1365.2
2500,0.4100,-1.0650,5.60,15.027779,0.0100,1422.8
2600,0.4700,0.0720,5.53,15.835124,0.0100,1481.1
2700,0.4300,-0.8380,5.58,16.355647,0.0100,1540.9
2800,0.5000,0.6890,5.56,16.567892,0.0100,1595.4
2900,0.4200,-0.9970,5.62,17.774460,0.0100,1651.7
3000,0.5100,0.8480,5.42,15.769229,0.0100,1705.2
3100,0.5700,2.2920,5.28,16.413147,0.0100,1755.3
3200,0.5100,0.9850,5.55,15.068095,0.0100,1812.8
3300,0.4000,-1.3350,5.70,16.707630,0.0100,1868.3
3400,0.5000,0.7220,5.53,16.560990,0.0100,1923.3
3500,0.5100,1.0760,5.39,16.182889,0.0100,1976.6
3600,0.5300,1.4690,5.51,16.482118,0.0100,2032.2
3700,0.6200,3.2800,5.45,18.155119,0.0100,2085.7
3800,0.4200,-0.8560,5.51,16.418439,0.0100,2143.5
3900,0.5100,0.9550,5.45,14.511241,0.0100,2197.9
4000,0.3900,-1.5680,5.68,16.486956,0.0100,2257.0
4100,0.4700,0.1670,5.43,15.472396,0.0100,2313.3
4200,0.5100,0.9610,5.54,15.377155,0.0100,2368.7
4300,0.5200,1.2150,5.45,15.584204,0.0100,2424.2
4400,0.5400,1.5600,5.50,15.328380,0.0100,2480.0
4500,0.4700,0.0580,5.67,14.856627,0.0100,2537.4
4600,0.6000,2.7460,5.44,15.134938,0.0100,2593.5
4700,0.5100,1.0100,5.50,14.954711,0.0100,2650.5
4800,0.6000,2.8830,5.32,16.981553,0.0100,2705.1
4900,0.5700,2.2160,5.29,15.377334,0.0100,2759.9
5000,0.5000,0.8770,5.58,15.161222,0.0100,2815.8
5100,0.5100,1.0080,5.42,15.695572,0.0100,2870.9
5200,0.4700,0.1700,5.60,14.209922,0.0100,3108.5
5300,0.3700,-1.9820,5.57,17.803354,0.0100,3329.5
5400,0.4400,-0.5870,5.42,17.136552,0.0100,3523.3
5500,0.4700,0.1490,5.61,15.735396,0.0100,4135.0
5600,0.4900,0.4720,5.43,16.025942,0.0100,4537.7
5700,0.4400,-0.4220,5.57,16.484073,0.0100,4787.3
5800,0.4700,0.0680,5.57,17.418417,0.0100,4951.1
5900,0.3900,-1.6500,5.65,16.408958,0.0100,5444.5
6000,0.3600,-2.1960,5.71,16.265054,0.0100,5692.8
6100,0.3500,-2.3730,5.63,17.322523,0.0100,7846.4
6200,0.3900,-1.4720,5.62,14.870332,0.0100,11101.5
6300,0.5100,0.9040,5.51,16.511946,0.0100,15577.7
6400,0.5500,1.8170,5.38,14.913642,0.0100,21302.8
6500,0.4100,-1.0550,5.55,14.292217,0.0100,24116.7
6600,0.5400,1.6420,5.53,15.562069,0.0100,25791.0
6700,0.4100,-1.1140,5.54,16.095261,0.0100,26768.8
6800,0.4900,0.4940,5.41,15.492718,0.0100,28019.8
6900,0.5000,0.6970,5.58,14.908805,0.0100,29912.1
7000,0.5900,2.7320,5.43,16.519565,0.0100,31337.9
7100,0.4700,0.1870,5.33,15.463021,0.0100,31520.9
7200,0.5700,2.2130,5.07,16.814872,0.0100,33753.0
7300,0.5700,2.1550,5.35,17.640901,0.0100,33980.7
7400,0.6200,3.1860,5.24,15.828558,0.0100,34329.9
7500,0.5800,2.4630,5.27,15.250423,0.0100,34683.7
7600,0.6700,4.2910,5.24,15.955666,0.0100,35170.2
7700,0.6500,3.8900,5.25,15.157224,0.0100,35328.6
7800,0.4600,-0.0510,5.56,15.409999,0.0100,35774.6
7900,0.4300,-0.6630,5.58,16.329974,0.0100,36524.0
8000,0.5000,0.8050,5.35,15.977619,0.0100,38599.9
8100,0.5700,2.2680,5.42,14.594250,0.0100,38655.5
8200,0.6200,3.3320,5.28,17.061467,0.0100,38708.2
8300,0.5400,1.5330,5.42,16.620798,0.0100,38763.9
8400,0.5800,2.5160,5.29,16.349442,0.0100,38817.6
8500,0.6200,3.2700,5.30,16.766748,0.0100,38875.1
8600,0.6200,3.2880,5.32,16.266442,0.0100,38929.2
8700,0.5300,1.4450,5.50,16.554302,0.0100,38986.6
8800,0.6100,3.0540,5.31,14.678827,0.0100,39043.0
8900,0.5200,1.1510,5.39,15.399405,0.0100,39101.2
9000,0.5500,1.8300,5.50,15.289990,0.0100,39157.2
9100,0.5600,2.0090,5.36,15.997377,0.0100,39212.8
9200,0.5700,2.1940,5.41,16.005441,0.0100,39268.3
9300,0.5700,2.2060,5.44,15.864923,0.0100,39323.8
9400,0.6300,3.4190,5.31,14.934423,0.0100,39377.2
9500,0.6300,3.4720,5.43,15.201478,0.0100,39432.3
9600,0.4900,0.5980,5.47,18.181693,0.0100,39488.1
9700,0.5600,2.0160,5.29,16.496875,0.0100,39541.9
9800,0.5600,2.0320,5.33,16.971994,0.0100,39595.3
9900,0.5300,1.3740,5.46,15.474761,0.0100,39649.2
10000,0.5400,1.6360,5.49,15.767371,0.0100,39704.5
