episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.2400,-4.7280,5.83,11.466486,0.9802,57.4
200,0.1800,-5.9130,5.83,9.318385,0.9604,116.2
300,0.3300,-2.8670,5.77,7.712817,0.9406,178.2
400,0.2300,-4.9350,5.75,8.050893,0.9208,238.4
500,0.1800,-5.9630,5.88,7.886267,0.9010,298.0
600,0.2400,-4.6470,5.92,7.649799,0.8812,360.4
700,0.1800,-5.9650,5.80,7.573818,0.8614,419.6
800,0.2000,-5.5060,5.86,7.675996,0.8416,478.4
900,0.2100,-5.3790,5.84,7.810213,0.8218,539.0
1000,0.2600,-4.2800,5.70,7.860220,0.8020,597.3
1100,0.2800,-3.9190,5.79,7.998549,0.7822,656.2
1200,0.2600,-4.2990,5.84,8.911367,0.7624,714.9
1300,0.2500,-4.6040,5.79,7.896403,0.7426,775.9
1400,0.3000,-3.5080,5.73,7.536295,0.7228,834.4
1500,0.2600,-4.2800,5.75,8.293359,0.7030,892.0
1600,0.3200,-3.0110,5.66,8.666213,0.6832,950.5
1700,0.2000,-5.5400,5.80,8.800587,0.6634,1009.4
1800,0.2900,-3.5610,5.71,9.573534,0.6436,1067.1
1900,0.2300,-4.8780,5.83,10.255615,0.6238,1126.6
2000,0.2800,-3.8570,5.77,10.891518,0.6040,1183.8
2100,0.2800,-3.7810,5.76,10.655257,0.5842,1239.6
2200,0.2900,-3.6630,5.73,11.086137,0.5644,1297.6
2300,0.2200,-5.1390,5.84,11.123365,0.5446,1355.6
2400,0.3000,-3.4230,5.83,9.702233,0.5248,1413.8
2500,0.3400,-2.6320,5.77,10.378775,0.5050,1470.7
2600,0.1800,-5.9880,5.83,10.640219,0.4852,1530.1
2700,0.2900,-3.6670,5.67,10.623828,0.4654,1589.8
2800,0.3400,-2.6110,5.71,9.760132,0.4456,1649.7
2900,0.3300,-2.7750,5.70,10.560508,0.4258,1707.7
3000,0.3400,-2.6630,5.68,9.670535,0.4060,1765.7
3100,0.3700,-2.0000,5.65,9.512837,0.3862,1823.2
3200,0.4400,-0.5130,5.63,10.719913,0.3664,1882.2
3300,0.4100,-1.0650,5.55,12.169459,0.3466,1937.8
3400,0.4200,-0.9130,5.58,11.718076,0.3268,1993.6
3500,0.5100,0.9960,5.39,13.416775,0.3070,2046.3
3600,0.3800,-1.5850,5.55,12.588987,0.2872,2100.8
3700,0.4300,-0.7330,5.63,12.907100,0.2674,2156.6
3800,0.3600,-2.2020,5.57,12.508860,0.2476,2211.3
3900,0.4100,-1.1450,5.65,11.877984,0.2278,2266.1
4000,0.4300,-0.7350,5.70,10.543375,0.2080,2321.9
4100,0.4100,-1.1500,5.65,11.490339,0.1882,2378.7
4200,0.4100,-1.1120,5.52,11.721853,0.1684,2432.2
4300,0.4100,-1.1450,5.45,11.854518,0.1486,2485.7
4400,0.4300,-0.7340,5.49,10.746817,0.1288,2538.4
4500,0.4700,0.2080,5.42,11.924392,0.1090,2590.0
4600,0.4800,0.4240,5.46,11.075067,0.0892,2643.2
4700,0.5300,1.4610,5.49,12.650763,0.0694,2694.8
4800,0.5600,2.1120,5.23,11.680440,0.0496,2745.7
4900,0.5900,2.6810,5.34,12.716816,0.0298,2799.1
5000,0.5400,1.7030,5.47,11.657596,0.0100,2854.6
5100,0.5000,0.8090,5.41,13.318737,0.0100,2909.3
5200,0.5600,1.9770,5.38,13.619452,0.0100,2963.2
5300,0.4800,0.3450,5.65,13.640885,0.0100,3017.9
5400,0.5800,2.4630,5.42,14.481406,0.0100,3071.5
5500,0.5100,1.1070,5.43,12.694759,0.0100,3124.6
5600,0.5100,0.9790,5.51,13.525494,0.0100,3178.8
5700,0.5300,1.3660,5.49,12.859065,0.0100,3233.7
5800,0.4000,-1.4170,5.62,12.421939,0.0100,3292.7
5900,0.4500,-0.3630,5.48,11.939128,0.0100,3349.7
6000,0.4000,-1.3210,5.61,12.590935,0.0100,3407.8
6100,0.5100,1.0120,5.48,13.170454,0.0100,3463.1
6200,0.5100,0.9760,5.59,13.349413,0.0100,3519.0
6300,0.4000,-1.3430,5.58,12.891752,0.0100,3575.2
6400,0.5000,0.7150,5.50,13.796213,0.0100,3630.6
6500,0.4900,0.5070,5.58,13.368676,0.0100,3686.8
6600,0.5300,1.4290,5.46,13.548146,0.0100,3739.6
6700,0.4600,-0.0240,5.44,11.777260,0.0100,3793.5
6800,0.4500,-0.3840,5.64,11.977775,0.0100,3854.7
6900,0.4200,-0.9730,5.58,12.514851,0.0100,3912.3
7000,0.3500,-2.4320,5.52,13.250106,0.0100,3970.0
7100,0.5600,1.9810,5.54,14.975212,0.0100,4027.4
7200,0.4900,0.4630,5.52,12.614171,0.0100,4087.1
7300,0.6200,3.3170,5.28,12.365604,0.0100,4137.0
7400,0.6300,3.4930,5.17,13.077495,0.0100,4187.0
7500,0.6100,3.1220,5.28,13.213421,0.0100,4238.4
7600,0.5700,2.1840,5.31,14.909664,0.0100,4288.8
7700,0.5500,1.8250,5.40,14.176467,0.0100,4341.3
7800,0.4200,-0.8280,5.53,14.884155,0.0100,4396.9
7900,0.5400,1.6380,5.57,13.151810,0.0100,4451.9
8000,0.5900,2.7040,5.36,15.284626,0.0100,4506.8
8100,0.5500,1.8000,5.30,14.533058,0.0100,4561.4
8200,0.5000,0.7450,5.45,13.925511,0.0100,4615.8
8300,0.5900,2.5900,5.10,13.903827,0.0100,4666.4
8400,0.6100,3.1240,5.36,13.402001,0.0100,4718.1
8500,0.5000,0.7630,5.47,13.455198,0.0100,4770.6
8600,0.6300,3.5110,5.29,13.764419,0.0100,4821.1
8700,0.5100,0.9790,5.46,11.919731,0.0100,4874.8
8800,0.5200,1.1070,5.53,13.308992,0.0100,4932.4
8900,0.6500,3.9820,5.13,14.674069,0.0100,4982.0
9000,0.5700,2.3010,5.54,15.415296,0.0100,5035.7
9100,0.6300,3.5290,5.31,15.425228,0.0100,5087.7
9200,0.5200,1.1490,5.51,14.939746,0.0100,5142.9
9300,0.5500,1.8750,5.45,14.571239,0.0100,5197.8
9400,0.5000,0.7000,5.60,14.479067,0.0100,5255.0
9500,0.6100,2.9740,5.41,14.658874,0.0100,5309.9
9600,0.5400,1.6060,5.39,14.761204,0.0100,5364.0
9700,0.4800,0.3870,5.58,13.827419,0.0100,5419.3
9800,0.5300,1.3690,5.46,13.995498,0.0100,5474.6
9900,0.5000,0.8340,5.51,14.655397,0.0100,5529.4
10000,0.4700,0.1860,5.44,13.975294,0.0100,5582.8
