episode,win_rate,avg_reward,avg_length,loss,epsilon,time_elapsed
100,0.1800,-5.9810,5.86,6.018060,0.9802,57.8
200,0.2700,-4.1770,5.82,7.081483,0.9604,116.4
300,0.2600,-4.2450,5.75,6.717686,0.9406,174.1
400,0.2300,-4.8960,5.81,6.931914,0.9208,233.0
500,0.2400,-4.6990,5.84,8.177013,0.9010,291.7
600,0.2200,-5.1530,5.83,7.971148,0.8812,395.4
700,0.2100,-5.3280,5.83,8.334922,0.8614,454.5
800,0.2100,-5.3450,5.80,7.922319,0.8416,513.5
900,0.3200,-2.9320,5.72,9.076332,0.8218,571.0
1000,0.2400,-4.7410,5.86,8.320971,0.8020,630.9
1100,0.2600,-4.2630,5.73,8.246461,0.7822,733.3
1200,0.3200,-3.0800,5.70,7.895525,0.7624,790.2
1300,0.1700,-6.1070,5.87,7.699300,0.7426,849.3
1400,0.3100,-3.1930,5.78,8.033786,0.7228,907.5
1500,0.2200,-5.0930,5.78,8.582040,0.7030,966.1
1600,0.2300,-4.8920,5.87,8.483092,0.6832,1070.8
1700,0.2900,-3.6720,5.67,9.196436,0.6634,1127.7
1800,0.2900,-3.7040,5.69,8.911161,0.6436,1186.0
1900,0.3500,-2.4420,5.62,9.032134,0.6238,1243.4
2000,0.3600,-2.2510,5.76,9.144962,0.6040,1301.5
2100,0.2400,-4.7350,5.85,9.498263,0.5842,1405.9
2200,0.3300,-2.8080,5.73,9.067304,0.5644,1464.0
2300,0.2600,-4.2880,5.73,8.333907,0.5446,1523.3
2400,0.3100,-3.1930,5.73,9.356143,0.5248,1582.5
2500,0.3000,-3.4340,5.59,9.708132,0.5050,1639.5
2600,0.3600,-2.1110,5.66,10.798320,0.4852,1740.5
2700,0.3400,-2.5920,5.67,10.341448,0.4654,1799.2
2800,0.2700,-4.0840,5.79,10.631034,0.4456,1859.6
2900,0.3500,-2.4900,5.60,10.963422,0.4258,1916.7
3000,0.4200,-0.9950,5.60,10.520476,0.4060,1973.4
3100,0.3300,-2.8620,5.72,10.723627,0.3862,2076.0
3200,0.2900,-3.5900,5.80,11.569273,0.3664,2137.2
3300,0.3300,-2.9070,5.62,11.420276,0.3466,2198.1
3400,0.3700,-2.0020,5.62,11.588673,0.3268,2258.0
3500,0.5000,0.7090,5.56,11.759785,0.3070,2313.6
3600,0.4100,-1.1150,5.60,12.856847,0.2872,2415.0
3700,0.4200,-0.9740,5.69,11.136807,0.2674,2472.4
3800,0.4100,-1.0890,5.59,11.169772,0.2476,2530.5
3900,0.3700,-1.9610,5.61,10.987702,0.2278,2588.8
4000,0.3300,-2.8100,5.65,11.556519,0.2080,2645.3
4100,0.3700,-1.9600,5.70,11.131803,0.1882,2749.6
4200,0.3700,-1.8650,5.70,11.400541,0.1684,2807.6
4300,0.4400,-0.5250,5.65,11.383409,0.1486,2865.4
4400,0.3600,-2.2140,5.64,12.020320,0.1288,2923.4
4500,0.4100,-1.0810,5.56,12.085607,0.1090,2980.7
4600,0.3900,-1.5440,5.49,11.662714,0.0892,3086.7
4700,0.3600,-2.1380,5.63,13.471015,0.0694,3141.4
4800,0.5100,0.9200,5.30,13.029620,0.0496,3194.2
4900,0.3600,-2.1930,5.63,13.724098,0.0298,3248.6
5000,0.5400,1.6090,5.36,13.431914,0.0100,3300.9
5100,0.4900,0.5200,5.50,12.996496,0.0100,3400.3
5200,0.4400,-0.4250,5.55,12.394777,0.0100,3456.3
5300,0.4500,-0.3060,5.46,12.868354,0.0100,3512.6
5400,0.4800,0.3540,5.56,12.367392,0.0100,3568.2
5500,0.3500,-2.3780,5.68,12.026520,0.0100,3627.4
5600,0.3400,-2.7250,5.70,11.280698,0.0100,3737.6
5700,0.4700,0.1140,5.56,12.927065,0.0100,3795.5
5800,0.4400,-0.5170,5.47,11.052078,0.0100,3851.2
5900,0.4800,0.3500,5.55,11.365535,0.0100,3908.1
6000,0.5500,1.7910,5.54,12.693817,0.0100,3963.9
6100,0.4800,0.3470,5.53,12.892925,0.0100,4071.7
6200,0.5800,2.4030,5.37,12.581046,0.0100,4126.7
6300,0.5300,1.3740,5.46,13.643150,0.0100,4182.0
6400,0.5400,1.5930,5.22,13.005178,0.0100,4233.3
6500,0.4400,-0.5110,5.51,13.341455,0.0100,4289.2
6600,0.5900,2.5510,5.29,12.664254,0.0100,4387.2
6700,0.4100,-1.2100,5.65,12.555752,0.0100,4445.5
6800,0.4100,-1.2270,5.47,13.024917,0.0100,4499.9
6900,0.4900,0.5330,5.37,12.180636,0.0100,4552.0
7000,0.4800,0.2740,5.36,12.213553,0.0100,4604.4
7100,0.5100,0.9960,5.39,11.931543,0.0100,4704.2
7200,0.6500,3.8500,5.30,12.069347,0.0100,4756.4
7300,0.6300,3.4540,5.31,13.376408,0.0100,4808.4
7400,0.4900,0.5250,5.45,13.664459,0.0100,4862.3
7500,0.5700,2.2110,5.44,13.448195,0.0100,4916.0
7600,0.5600,2.0080,5.22,13.609969,0.0100,5012.3
7700,0.4800,0.4430,5.42,12.080655,0.0100,5064.7
7800,0.4300,-0.7370,5.42,12.779017,0.0100,5118.0
7900,0.4800,0.1910,5.44,12.341683,0.0100,5170.3
8000,0.5000,0.6510,5.39,13.326453,0.0100,5223.9
8100,0.3400,-2.6410,5.66,13.955295,0.0100,5327.6
8200,0.4700,0.0380,5.47,13.885513,0.0100,5382.6
8300,0.3800,-1.9120,5.62,13.821470,0.0100,5441.5
8400,0.4100,-1.2200,5.60,13.372898,0.0100,5500.4
8500,0.4000,-1.4780,5.53,12.948552,0.0100,5555.9
8600,0.3600,-2.2310,5.66,13.261312,0.0100,5666.4
8700,0.4600,-0.1820,5.27,14.383793,0.0100,5719.2
8800,0.5300,1.3610,5.39,14.228415,0.0100,5770.9
8900,0.4800,0.3230,5.27,14.563060,0.0100,5822.3
9000,0.5300,1.4380,5.52,14.224097,0.0100,5877.6
9100,0.4900,0.5280,5.42,14.402678,0.0100,5983.1
9200,0.5600,2.0000,5.50,12.739869,0.0100,6036.4
9300,0.5700,2.2040,5.26,11.867637,0.0100,6086.1
9400,0.6100,3.1060,5.34,13.756002,0.0100,6135.7
9500,0.4900,0.5230,5.52,14.509973,0.0100,6187.5
9600,0.6100,3.0440,5.41,13.761554,0.0100,6282.5
9700,0.5900,2.6490,5.41,14.663042,0.0100,6332.4
9800,0.4400,-0.4570,5.37,14.595855,0.0100,6385.5
9900,0.3400,-2.6050,5.70,13.255820,0.0100,6444.6
10000,0.4500,-0.2970,5.47,13.657764,0.0100,6500.1
