episode,win_rate,avg_turns,loss,epsilon,total_steps,time_elapsed
100,0.87,4.8,0.0,0.99088,480,2.7586681842803955
200,0.91,4.78,0.0,0.981798,958,5.376983165740967
300,0.84,4.73,0.0,0.972811,1431,7.973150968551636
400,0.8,4.89,0.0,0.96352,1920,10.718437910079956
500,0.84,5.13,0.0,0.953773,2433,13.571985006332397
600,0.87,4.99,0.0,0.944292,2932,16.31921911239624
700,0.87,4.69,0.0,0.935381,3401,18.958059072494507
800,0.84,4.87,0.0,0.9261280000000001,3888,21.667515993118286
900,0.86,4.71,0.0,0.917179,4359,24.252119064331055
1000,0.89,4.9,0.0,0.907869,4849,26.9798641204834
1100,0.85,4.88,0.19961398401681116,0.898597,5337,31.531423091888428
1200,0.81,5.02,0.20650757253170013,0.889059,5839,36.67511296272278
1300,0.84,4.85,0.1992860552901402,0.8798440000000001,6324,41.405242919921875
1400,0.86,4.91,0.17194219779223205,0.870515,6815,46.0337610244751
1500,0.85,4.87,0.2244726576283574,0.861262,7302,50.56414222717285
1600,0.93,4.84,0.21198718205094338,0.852066,7786,55.15226912498474
1700,0.87,4.9,0.25049773782491686,0.8427560000000001,8276,59.776342153549194
1800,0.91,4.95,0.22586216270923615,0.833351,8771,64.32954597473145
1900,0.87,5.0,0.27825110763311384,0.823851,9271,68.99411511421204
2000,0.89,4.76,0.2766978067159653,0.8148070000000001,9747,73.41474914550781
2100,0.81,5.06,0.2920319402217865,0.805193,10253,78.11678218841553
2200,0.88,4.83,0.2579514189809561,0.7960160000000001,10736,82.65739297866821
2300,0.8,4.83,0.2970510121434927,0.7868390000000001,11219,87.34626793861389
2400,0.82,5.0,0.28599617280066014,0.777339,11719,92.03240704536438
2500,0.92,4.81,0.2841874354332685,0.7682,12200,96.52495121955872
2600,0.87,4.98,0.2654336537048221,0.758738,12698,101.17799997329712
2700,0.83,4.91,0.26761519342660905,0.749409,13189,105.84285712242126
2800,0.87,4.88,0.280714603215456,0.740137,13677,110.47021913528442
2900,0.83,4.83,0.27104670397937297,0.73096,14160,114.957679271698
3000,0.86,4.88,0.2512297364324331,0.7216880000000001,14648,119.46093606948853
3100,0.86,4.91,0.2394164299964905,0.712359,15139,124.07769298553467
3200,0.89,4.92,0.22360532246530057,0.703011,15631,128.72533416748047
3300,0.8,4.92,0.22001721747219563,0.693663,16123,133.29760813713074
3400,0.87,4.97,0.2017215047031641,0.68422,16620,137.91233110427856
3500,0.88,4.99,0.21969221770763397,0.674739,17119,142.60205602645874
3600,0.81,5.05,0.19796885207295417,0.665144,17624,147.3960452079773
3700,0.86,4.85,0.20180292673408984,0.655929,18109,152.00425505638123
3800,0.83,4.92,0.1972198286280036,0.646581,18601,156.6437201499939
3900,0.77,4.83,0.1877892778068781,0.6374040000000001,19084,161.1789882183075
4000,0.9,4.79,0.20796993896365165,0.6283030000000001,19563,165.67493724822998
4100,0.85,4.92,0.20491009395569562,0.6189549999999999,20055,170.26509404182434
4200,0.9,4.86,0.21384309604763985,0.609721,20541,174.74006819725037
4300,0.82,4.88,0.20437028586864472,0.600449,21029,179.31028413772583
4400,0.83,5.04,0.1928325664997101,0.590873,21533,184.062744140625
4500,0.8,5.17,0.20463716637343168,0.5810500000000001,22050,188.9646520614624
4600,0.79,4.97,0.1926155225932598,0.571607,22547,193.66114616394043
4700,0.74,5.09,0.18007724978029727,0.561936,23056,198.4972140789032
4800,0.83,4.94,0.19775152415037156,0.55255,23550,203.0585741996765
4900,0.84,4.93,0.1578434621170163,0.543183,24043,207.77544808387756
5000,0.8,5.01,0.16869826149195433,0.533664,24544,212.56317615509033
5100,0.87,4.94,0.17793823760002853,0.524278,25038,217.2657549381256
5200,0.88,4.95,0.18447361312806607,0.514873,25533,221.94011402130127
5300,0.79,5.14,0.17399886455386876,0.505107,26047,226.70128417015076
5400,0.86,4.87,0.17178494576364756,0.495854,26534,231.21045517921448
5500,0.84,4.94,0.15755952022969721,0.486468,27028,235.8798999786377
5600,0.87,4.95,0.1576653066650033,0.477063,27523,240.64917707443237
5700,0.82,5.16,0.16251077100634576,0.467259,28039,245.55192923545837
5800,0.82,4.86,0.14489437077194453,0.458025,28525,250.08581614494324
5900,0.77,5.1,0.1347816064953804,0.44833500000000004,29035,254.8558521270752
6000,0.85,4.84,0.13582263475283982,0.43913900000000006,29519,259.26723623275757
6100,0.85,5.03,0.14341996561735867,0.429582,30022,263.987909078598
6200,0.8,4.92,0.14589817356318235,0.420234,30514,268.59428310394287
6300,0.77,4.94,0.16045272417366505,0.410848,31008,273.2106692790985
6400,0.85,4.89,0.14043271640315652,0.40155700000000005,31497,277.79224920272827
6500,0.86,5.03,0.14968286391347646,0.392,32000,282.710871219635
6600,0.89,4.99,0.15643328472971915,0.38251900000000005,32499,287.39180302619934
6700,0.76,5.12,0.14206226382404566,0.3727910000000001,33011,292.2575240135193
6800,0.73,4.9,0.13489874996244908,0.36348100000000005,33501,296.95886611938477
6900,0.81,4.97,0.13893559765070676,0.3540380000000001,33998,301.6311900615692
7000,0.91,4.69,0.15810478983446954,0.3451270000000001,34467,305.9424719810486
7100,0.9,4.85,0.1358839387446642,0.335912,34952,310.4703152179718
7200,0.74,5.23,0.13389114029705523,0.325975,35475,315.3913040161133
7300,0.73,5.06,0.14635812241584062,0.316361,35981,320.24088406562805
7400,0.75,5.09,0.12106595385819674,0.30669,36490,325.14318919181824
7500,0.85,5.07,0.12780522007495165,0.297057,36997,329.877366065979
7600,0.83,5.07,0.1276683693751693,0.2874240000000001,37504,334.6315379142761
7700,0.76,5.0,0.12235410260036587,0.27792400000000006,38004,339.23553109169006
7800,0.78,5.07,0.11983375176787377,0.26829100000000006,38511,344.0937910079956
7900,0.82,4.93,0.13079863820225002,0.25892400000000004,39004,348.5965919494629
8000,0.84,4.94,0.11898641180247069,0.24953800000000004,39498,353.08899903297424
8100,0.81,4.85,0.12178141672164201,0.24032300000000006,39983,357.6290121078491
8200,0.86,4.99,0.11484492380172014,0.230842,40482,362.1768891811371
8300,0.83,5.05,0.11090716306120157,0.22124699999999997,40987,366.82143115997314
8400,0.77,5.01,0.11775056201964616,0.21172800000000003,41488,371.33574199676514
8500,0.82,4.99,0.10289695054292679,0.20224699999999995,41987,375.85384607315063
8600,0.81,4.93,0.11046774322167038,0.19288000000000005,42480,380.4148030281067
8700,0.79,4.95,0.10164964063093067,0.18347500000000005,42975,384.82864904403687
8800,0.8,5.02,0.11242429532110691,0.173937,43477,389.5540680885315
8900,0.78,5.07,0.10852320566773414,0.16430400000000012,43984,394.2155022621155
9000,0.77,5.31,0.10366481233388186,0.154215,44515,399.10216093063354
9100,0.84,5.0,0.08963444681838155,0.14471500000000004,45015,403.66927695274353
9200,0.83,4.81,0.11185525743290782,0.13557600000000003,45496,408.0134029388428
9300,0.86,4.75,0.10947606917470694,0.12655100000000008,45971,412.2305700778961
9400,0.85,5.14,0.10337724316865206,0.11678500000000003,46485,417.0371642112732
9500,0.66,5.16,0.1007606402784586,0.1069810000000001,47001,421.8916230201721
9600,0.87,5.03,0.10831139024347067,0.09742400000000007,47504,426.42828702926636
9700,0.86,5.0,0.10921838883310557,0.08792400000000011,48004,430.9095392227173
9800,0.84,4.86,0.11187486751005053,0.07869000000000004,48490,435.31153202056885
9900,0.78,5.15,0.10872763372957707,0.068905,49005,440.04129910469055
10000,0.81,4.98,0.10476466977968812,0.059443000000000024,49503,444.58656311035156
